City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
255,Santiago,CL,2022-03-27 17:54:55,-33.4569,-70.6483,84.29,34,0,4.61
256,Creel,MX,2022-03-27 17:57:13,27.75,-107.6333,65.95,7,86,8.72
257,Altar,MX,2022-03-27 17:57:14,30.7,-111.8167,83.95,7,98,10.71
258,Auki,SB,2022-03-27 17:57:14,-8.7676,160.7034,77.68,86,100,3.76
259,Hajduboszormeny,HU,2022-03-27 17:57:15,47.6667,21.5167,51.53,34,14,6.64
260,Rumoi,JP,2022-03-27 17:57:16,43.9344,141.6428,38.3,78,90,19.28
261,Ginda,IN,2022-03-27 17:57:16,30.6945,78.4932,58.08,29,0,8.37
262,Santa Fe,AR,2022-03-27 17:57:17,-31.6333,-60.7,85.01,45,3,4.0
263,Mazamari,PE,2022-03-27 17:57:17,-11.3258,-74.5308,90.21,45,86,2.89
264,Banda Aceh,ID,2022-03-27 17:57:17,5.5577,95.3222,80.73,79,13,3.47
265,Juneau,US,2022-03-27 17:56:44,58.3019,-134.4197,39.85,89,83,1.03
266,Takoradi,GH,2022-03-27 17:57:18,4.8845,-1.7554,82.9,77,30,10.51
267,Miraflores,MX,2022-03-27 17:57:18,19.2167,-98.8083,71.02,15,20,5.3
268,Bernal,PE,2022-03-27 17:57:18,-5.45,-80.75,88.32,43,100,7.49
269,Lahat,ID,2022-03-27 17:57:19,-3.8,103.5333,73.02,97,95,2.66
270,Kaili,ID,2022-03-27 17:57:19,-3.4626,120.2147,66.09,89,100,3.65
271,Namatanai,PG,2022-03-27 17:57:19,-3.6667,152.4333,78.84,84,100,4.81
272,Ekimchan,RU,2022-03-27 17:57:20,53.0667,132.9667,-1.57,99,100,2.55
273,Ramhormoz,IR,2022-03-27 17:58:20,31.28,49.6035,61.68,23,0,7.49
274,Grand Gaube,MU,2022-03-27 17:58:20,-20.0064,57.6608,79.2,83,18,1.99
275,Ferrol,ES,2022-03-27 17:58:21,43.4832,-8.2369,64.92,71,54,3.51
276,Vanimo,PG,2022-03-27 17:58:21,-2.6741,141.3028,76.96,86,80,5.17
277,Shestakovo,RU,2022-03-27 17:58:22,56.4915,103.96,13.17,92,99,8.93
278,Marzuq,YE,2022-03-27 17:58:18,14.4,46.4667,68.95,35,87,6.35
279,Hambantota,LK,2022-03-27 17:58:22,6.1241,81.1185,80.02,81,16,7.43
280,Lamar,US,2022-03-27 17:58:22,33.6668,-95.5836,76.98,51,11,7.83
281,Pringsewu,ID,2022-03-27 17:58:23,-5.3582,104.9744,73.22,97,71,1.12
282,Raudeberg,NO,2022-03-27 17:58:23,61.9875,5.1352,46.96,85,88,24.25
283,Concepcion Del Oro,MX,2022-03-27 17:58:23,24.6333,-101.4167,69.84,11,30,3.65
284,Tabou,CI,2022-03-27 17:58:24,4.423,-7.3528,82.62,76,90,7.4
285,Valparaiso,CL,2022-03-27 17:58:24,-33.0393,-71.6273,70.03,55,0,12.66
286,Chokurdakh,RU,2022-03-27 17:58:24,70.6333,147.9167,-9.47,100,98,6.38
287,Kinwat,IN,2022-03-27 17:58:25,19.6333,78.2,89.55,14,2,3.67
288,Sitka,US,2022-03-27 17:58:25,57.0531,-135.33,40.91,72,45,4.18
289,Mabai,CN,2022-03-27 17:58:25,23.0128,104.4508,52.03,92,99,5.26
